,delay_rate,delay_rate,delay_rate,arr_del15,arr_flights,avg_delay_minutes
,mean,std,count,sum,sum,mean
airport,,,,,,
MBS,0.1667,0.0838,160,2902.0,16743.0,11.539
LAR,0.1678,0.0888,97,880.0,5202.0,13.5171
CSG,0.168,0.0859,120,1696.0,9957.0,11.5458
BQK,0.1681,0.0614,97,1265.0,7561.0,11.1892
HRL,0.1689,0.094,333,5381.0,28500.0,9.522
LFT,0.1694,0.1071,396,6321.0,35344.0,11.3666
SJT,0.1694,0.0767,131,1925.0,11424.0,9.5544
EYW,0.1695,0.1168,361,5379.0,34341.0,11.6443
DIK,0.1697,0.1306,64,654.0,3814.0,10.6471
ILM,0.1701,0.0999,468,6611.0,36432.0,10.5104
OGG,0.1703,0.0954,569,28456.0,203997.0,9.748
GTR,0.1705,0.076,105,1384.0,8210.0,10.9109
PUB,0.1707,0.0929,53,542.0,3152.0,13.369
IDA,0.1708,0.1053,164,3186.0,22467.0,10.6589
BIL,0.1708,0.1112,433,4546.0,29289.0,10.4251
TRI,0.1715,0.1129,322,3301.0,19911.0,11.4661
PSC,0.1718,0.0952,212,4967.0,29764.0,10.5269
FAY,0.1719,0.1185,295,3234.0,18470.0,11.165
DLH,0.172,0.1156,188,3337.0,19282.0,13.304
HOB,0.1721,0.0935,85,761.0,4434.0,10.3563
MSO,0.1724,0.1228,394,4156.0,26529.0,9.9693
MYR,0.1725,0.102,583,12813.0,71006.0,10.7349
GCK,0.1726,0.0959,93,825.0,5037.0,10.5028
LSE,0.1731,0.1144,160,2143.0,12216.0,9.4238
ABY,0.1732,0.076,96,1306.0,7572.0,11.5205
FCA,0.1739,0.1185,290,3579.0,22472.0,10.6003
TYR,0.1744,0.107,120,2021.0,11803.0,10.5299
OAJ,0.1744,0.0873,179,2691.0,14017.0,10.847
OAK,0.1745,0.0966,812,77046.0,391069.0,9.7906
GPT,0.1757,0.11,373,5169.0,29483.0,11.1378
BTR,0.1759,0.1199,431,10820.0,55611.0,11.0893
MLB,0.1764,0.1223,199,2422.0,15825.0,10.398
WRG,0.1764,0.0712,97,1034.0,5862.0,9.4061
ATW,0.1765,0.1081,381,6008.0,30297.0,11.6662
LCH,0.1773,0.0941,170,2116.0,13165.0,11.5384
BIH,0.1777,0.1325,15,135.0,549.0,18.0827
LAW,0.178,0.1029,140,1772.0,10012.0,11.8484
BFF,0.1783,0.0772,44,407.0,2318.0,15.0051
LAN,0.1784,0.1163,261,3445.0,19793.0,12.1191
GNV,0.1788,0.1092,321,4568.0,25754.0,10.8787
ABE,0.1788,0.1096,361,4971.0,26130.0,12.1749
ACK,0.179,0.1237,82,1423.0,7519.0,12.9164
ROA,0.1792,0.1143,367,3309.0,18754.0,11.6161
TLH,0.1792,0.1096,348,6143.0,35496.0,10.9538
CRW,0.1793,0.1133,329,5213.0,26163.0,12.7428
TUS,0.1794,0.102,701,28083.0,136881.0,10.3075
CGI,0.1796,0.0724,35,401.0,2146.0,19.1923
LYH,0.1798,0.0914,34,456.0,2196.0,10.1205
EAR,0.1801,0.0818,26,270.0,1476.0,13.9251
JAN,0.1804,0.092,417,10655.0,57769.0,10.4388
FAI,0.1806,0.1247,214,4180.0,28278.0,9.7722
MOB,0.1807,0.0965,372,7363.0,39080.0,12.073
FNT,0.1823,0.1311,420,6001.0,31279.0,11.139
GRK,0.1823,0.08,192,4410.0,24128.0,11.6612
EVV,0.1823,0.1262,383,4671.0,26198.0,12.0804
RFD,0.1827,0.0834,46,470.0,2663.0,11.6036
DHN,0.1831,0.0815,108,1918.0,10131.0,11.527
DAY,0.1837,0.0978,651,14866.0,75639.0,11.8291
AVP,0.1841,0.1171,309,3470.0,17579.0,11.5105
SJC,0.1843,0.0964,871,71436.0,398199.0,9.9629
LBF,0.1844,0.0736,43,435.0,2332.0,14.7499
DAL,0.1845,0.103,333,104191.0,532030.0,9.8626
SAF,0.1845,0.0951,186,2508.0,13391.0,11.2537
MOT,0.1847,0.1194,211,2746.0,16498.0,11.0436
SHV,0.1847,0.0988,399,9285.0,47758.0,12.6262
FSM,0.1847,0.1206,203,2658.0,14153.0,11.8862
PSM,0.1849,0.1552,52,235.0,1355.0,12.5097
LEX,0.1855,0.0876,521,10717.0,57914.0,11.9836
STT,0.1856,0.1081,497,6638.0,34319.0,11.0049
SBN,0.1859,0.1132,302,9028.0,45682.0,13.0108
IAD,0.1861,0.0885,993,74808.0,425110.0,12.053
GRB,0.1861,0.13,414,7098.0,37433.0,12.3278
BWI,0.1866,0.0931,1072,139381.0,783831.0,11.318
HHH,0.1867,0.1103,62,1101.0,6086.0,14.1552
PBG,0.1872,0.0971,127,821.0,4408.0,16.032
VPS,0.1872,0.1088,463,10160.0,52269.0,11.5809
HNL,0.1873,0.0958,571,63512.0,405151.0,10.8533
ERI,0.1882,0.1435,108,1157.0,6471.0,12.6904
SGF,0.1884,0.0887,390,10321.0,50314.0,11.7485
ABI,0.1885,0.0655,89,2549.0,13750.0,10.2175
JAC,0.1896,0.112,401,6624.0,33353.0,12.9005
STS,0.1896,0.0894,137,2064.0,11704.0,10.7985
AEX,0.1901,0.1181,209,4098.0,23156.0,11.0165
MTJ,0.1902,0.1478,355,2618.0,12411.0,10.5122
OMA,0.1908,0.09,1008,34615.0,172217.0,11.3159
DCA,0.1909,0.0728,1191,160633.0,843720.0,11.7546
RST,0.1913,0.1085,251,3502.0,17944.0,12.8257
GRI,0.1914,0.1263,138,1106.0,6002.0,11.7346
CWA,0.1914,0.1369,225,2627.0,14347.0,11.9289
CHS,0.1915,0.1077,1008,29802.0,152443.0,11.4613
RDD,0.1916,0.0838,109,1866.0,9703.0,13.0217
DTW,0.1917,0.0851,1198,162738.0,1071371.0,12.22
ECP,0.1918,0.1075,386,8026.0,42908.0,12.4133
PRC,0.1923,0.0767,37,414.0,2181.0,16.9865
SBA,0.1923,0.1108,340,10792.0,57407.0,11.854
TUL,0.1925,0.0965,826,27345.0,129849.0,11.472
BOI,0.1925,0.1102,684,25003.0,137420.0,10.7697
MDW,0.1926,0.1059,419,128298.0,693896.0,12.2611
PIT,0.193,0.0892,1153,55205.0,290188.0,12.0716
AVL,0.1931,0.1007,509,10210.0,48896.0,12.9124
BGR,0.1932,0.1325,322,3801.0,19116.0,12.2764
SBP,0.1935,0.0937,167,6611.0,35040.0,12.3032
PSP,0.1935,0.1216,656,17045.0,91804.0,10.9857
HSV,0.1936,0.1115,488,9712.0,53909.0,12.4998
TVC,0.1938,0.1331,425,5407.0,28081.0,13.4184
MKG,0.1941,0.0892,86,985.0,5033.0,12.6451
MDT,0.1943,0.1369,671,6900.0,37499.0,12.6425
BZN,0.1945,0.1338,582,8625.0,48437.0,11.0725
MCI,0.1947,0.0893,1167,75197.0,384014.0,11.7079
TOL,0.1947,0.1093,141,1472.0,7530.0,11.8381
MMH,0.1948,0.0956,38,278.0,1366.0,14.2812
ONT,0.1949,0.1141,716,35843.0,172693.0,10.9769
BMI,0.195,0.1225,385,4216.0,21207.0,13.4272
SLN,0.1959,0.0704,41,580.0,2931.0,19.4861
SAT,0.1965,0.0975,983,59689.0,287259.0,10.9168
XNA,0.1965,0.0995,633,17050.0,81568.0,12.0592
EWN,0.1967,0.0909,117,1727.0,8602.0,11.9419
MKE,0.1967,0.0977,962,49080.0,248711.0,11.8852
RAP,0.1967,0.1291,399,5717.0,31871.0,13.2431
CAE,0.197,0.1119,396,9465.0,47672.0,12.6065
JLN,0.1972,0.1238,102,1130.0,5606.0,14.698
BUR,0.1972,0.104,568,38293.0,208482.0,11.4727
GEG,0.1974,0.1084,672,18334.0,99953.0,11.0763
AGS,0.1976,0.1428,314,4911.0,26917.0,12.4169
SPI,0.1981,0.1037,212,2520.0,12193.0,12.7557
RDM,0.1982,0.091,160,5665.0,33099.0,12.6619
STL,0.1984,0.0902,1054,90617.0,473321.0,11.7689
GSO,0.1984,0.1219,608,15177.0,76969.0,12.5684
ORH,0.1985,0.1075,139,1804.0,8093.0,13.8447
CLE,0.1986,0.0833,1130,64660.0,327971.0,12.7274
AUS,0.1986,0.102,1193,99908.0,488126.0,11.8768
MSN,0.1987,0.1007,691,16759.0,87339.0,12.5567
MFE,0.199,0.1219,423,6426.0,30169.0,12.4175
CAK,0.1992,0.1096,432,9764.0,46324.0,13.679
MSP,0.1992,0.0942,1156,164532.0,1075791.0,12.3389
SAN,0.1995,0.0888,1094,130313.0,676982.0,10.7073
CRP,0.1995,0.1172,386,7821.0,37986.0,11.1012
EUG,0.1995,0.0902,290,7898.0,42331.0,12.7203
CHA,0.2,0.1012,473,8875.0,45560.0,12.9304
MHT,0.2001,0.1088,466,12247.0,59165.0,13.1531
CMH,0.2002,0.0934,989,54384.0,272953.0,11.9996
PNS,0.2006,0.1054,666,14069.0,73104.0,12.2695
FAR,0.2007,0.1156,486,8488.0,43357.0,13.2154
PAH,0.2008,0.101,89,1204.0,5905.0,14.0315
MSY,0.2013,0.1111,1180,76399.0,386248.0,12.1206
IND,0.2015,0.0845,1079,58207.0,292159.0,12.4023
MAF,0.2021,0.102,443,13453.0,65463.0,12.0246
SLC,0.2023,0.1193,949,123401.0,892116.0,11.7957
CHO,0.2023,0.1103,355,5598.0,26351.0,13.9982
CID,0.2024,0.1191,605,11664.0,58126.0,12.9324
EAU,0.2024,0.0906,88,1045.0,5060.0,14.2181
ICT,0.2025,0.109,747,15386.0,74723.0,12.3437
BFL,0.2027,0.0974,163,4137.0,21458.0,13.8453
SCE,0.2028,0.1049,147,1858.0,9090.0,14.4522
SMF,0.2029,0.0991,892,72661.0,374333.0,11.6222
ATL,0.2031,0.0853,1175,453583.0,2988886.0,13.0587
SDF,0.2034,0.1038,828,27660.0,137299.0,12.4858
GUM,0.2034,0.1506,97,770.0,4343.0,10.0145
BIS,0.2036,0.1436,387,4796.0,26230.0,13.125
RSW,0.2039,0.1177,876,49961.0,249991.0,12.7295
PHX,0.2042,0.1063,1079,238244.0,1335525.0,12.2994
BPT,0.2042,0.1156,107,1259.0,6328.0,13.0181
BDL,0.2043,0.1028,971,39125.0,189477.0,12.9425
DRO,0.2043,0.1306,236,3659.0,20167.0,12.5789
BNA,0.2044,0.0814,1116,106232.0,547022.0,12.56
SAV,0.2045,0.1038,785,19841.0,99378.0,13.2678
ACT,0.2045,0.145,100,2118.0,11806.0,11.8454
PDX,0.2045,0.1077,1064,81730.0,473827.0,11.3097
STC,0.2046,0.1521,46,277.0,1033.0,10.6936
BLV,0.2047,0.0811,44,860.0,3916.0,13.9662
ROC,0.2048,0.1,901,17924.0,86115.0,12.759
BFM,0.2049,0.1586,8,35.0,158.0,13.0581
ALB,0.2051,0.1143,834,17403.0,84178.0,13.0276
PIA,0.2053,0.1037,359,6552.0,32685.0,13.5076
LAS,0.2054,0.0872,1104,261809.0,1268947.0,12.2635
ANC,0.2055,0.1157,427,23328.0,146774.0,10.9689
DSM,0.2057,0.1058,962,20699.0,98295.0,12.2932
PVD,0.2057,0.1147,848,24229.0,118838.0,13.0313
ART,0.206,0.1068,16,170.0,773.0,13.2963
OKC,0.206,0.1006,909,35052.0,160398.0,12.193
BUF,0.2064,0.0973,920,34367.0,167244.0,13.2691
RNO,0.2065,0.1132,777,27690.0,137035.0,11.7039
ELP,0.2068,0.1074,733,27176.0,123189.0,12.2687
GSP,0.2069,0.1032,696,16599.0,83291.0,12.8078
TPA,0.2071,0.0991,904,118588.0,574666.0,12.7616
GUC,0.2071,0.1514,157,893.0,3802.0,14.5395
HGR,0.2072,0.1388,44,154.0,700.0,13.0772
BTV,0.2073,0.1146,580,10334.0,49935.0,14.1646
EGE,0.2074,0.1337,236,3552.0,15566.0,15.9709
DBQ,0.2077,0.0985,61,969.0,4510.0,11.2606
IAH,0.2077,0.0896,983,219980.0,1227864.0,12.8273
SHD,0.208,0.0504,31,412.0,1979.0,26.4605
LIT,0.2082,0.1062,709,19511.0,93715.0,12.015
DFW,0.2084,0.098,1075,398585.0,2082529.0,14.1622
LBE,0.2085,0.0911,80,1431.0,6997.0,14.4017
HDN,0.2086,0.1562,243,2112.0,9773.0,12.375
MEM,0.2086,0.0868,958,31789.0,157381.0,12.6852
PWM,0.2086,0.1108,762,13842.0,66967.0,13.6402
MRY,0.2091,0.1254,215,5699.0,30145.0,13.4482
ACY,0.2091,0.0782,89,4867.0,23073.0,15.0032
CLT,0.2091,0.0934,1026,212468.0,1299238.0,13.3246
MLI,0.2093,0.106,365,6721.0,32669.0,13.6021
MFR,0.2094,0.1019,213,6000.0,33226.0,14.0278
AMA,0.2096,0.1359,384,8554.0,39929.0,12.6933
CVG,0.2096,0.0929,845,49612.0,254016.0,13.9739
RDU,0.2099,0.0994,1162,77839.0,382453.0,13.31
ABQ,0.2102,0.1331,960,37919.0,178775.0,11.8069
STX,0.2103,0.1583,269,1792.0,8502.0,11.2857
ACV,0.2104,0.0705,97,3128.0,15081.0,16.08
FWA,0.2111,0.1154,299,9141.0,43744.0,13.8145
LNK,0.2112,0.113,191,3523.0,17433.0,13.0794
CMI,0.2113,0.0935,73,2956.0,13476.0,12.5641
COS,0.2115,0.1028,512,17956.0,77694.0,13.2306
RIC,0.2117,0.1036,996,32410.0,153714.0,13.361
DEN,0.2118,0.0977,1044,367271.0,1932153.0,12.7768
BOS,0.2118,0.0994,1137,233143.0,1052523.0,13.6778
MEI,0.2119,0.0882,83,1391.0,6526.0,19.5584
BHM,0.2121,0.1063,675,25034.0,120083.0,12.6851
LBB,0.2124,0.1103,415,9740.0,46114.0,13.1276
PHL,0.2124,0.1099,1105,140299.0,707160.0,14.2049
JAX,0.2125,0.1008,994,41989.0,200539.0,13.2751
HOU,0.2127,0.1108,521,90635.0,454698.0,12.4586
MGM,0.2128,0.1184,266,4907.0,24702.0,14.2452
MCO,0.2129,0.1115,949,234231.0,1069260.0,13.6304
TYS,0.2131,0.1119,623,20516.0,91219.0,13.9942
FSD,0.2143,0.1185,624,11032.0,49878.0,14.0519
ALO,0.2144,0.0972,76,907.0,4256.0,12.8787
ORF,0.2154,0.1004,891,27672.0,134399.0,13.4981
SMX,0.2155,0.1527,83,623.0,3582.0,13.2034
HPN,0.2161,0.0946,366,17895.0,76123.0,14.8117
MQT,0.2162,0.1202,150,1401.0,7103.0,19.9367
SEA,0.2167,0.0992,1030,195943.0,1109240.0,11.7503
GRR,0.2169,0.099,824,23151.0,111920.0,13.7648
LAX,0.2171,0.0907,1103,358436.0,1718632.0,12.5692
MHK,0.2172,0.1369,134,2317.0,11326.0,12.6993
ORD,0.2174,0.088,1122,480357.0,2343576.0,15.4135
SYR,0.2175,0.112,843,16764.0,78538.0,14.0357
FAT,0.2184,0.1218,405,14920.0,80857.0,13.3861
JFK,0.2193,0.0943,776,205834.0,924534.0,14.6846
SRQ,0.22,0.1516,574,11980.0,56291.0,13.3533
CKB,0.2206,0.1167,80,638.0,2930.0,17.7083
FLO,0.2214,0.3288,8,48.0,283.0,11.2231
FLL,0.2222,0.1044,915,154195.0,681821.0,13.6953
LCK,0.2248,0.0892,44,909.0,3833.0,16.2807
CMX,0.2253,0.1015,97,1327.0,5868.0,17.5338
PIB,0.2266,0.1386,83,1004.0,4551.0,20.8792
MIA,0.227,0.1298,675,134579.0,680744.0,14.551
COU,0.2287,0.0967,149,2474.0,11001.0,15.208
OGD,0.2294,0.1809,28,55.0,260.0,11.785
SJU,0.2301,0.101,669,53225.0,217522.0,13.6634
LWB,0.2325,0.0887,31,421.0,1786.0,18.5036
HTS,0.234,0.1094,68,537.0,2309.0,14.5972
USA,0.2346,0.0832,44,869.0,3733.0,15.2673
UIN,0.2356,0.08,25,383.0,1646.0,20.1175
PBI,0.2361,0.125,805,47116.0,198197.0,14.3957
ASE,0.2402,0.0968,115,11223.0,44303.0,17.3195
BKG,0.2404,0.1307,42,370.0,1786.0,14.3224
MOD,0.2405,0.1011,11,212.0,922.0,14.6627
SWF,0.2415,0.1505,188,2105.0,9078.0,16.4288
PIE,0.2433,0.0847,44,7106.0,28442.0,18.9905
UST,0.2438,0.1562,33,144.0,606.0,18.3733
PVU,0.2451,0.1616,44,1232.0,3938.0,19.2844
IFP,0.2455,0.2301,14,68.0,365.0,19.2433
PPG,0.2482,0.2226,96,194.0,904.0,15.7009
ISP,0.2492,0.091,146,9753.0,40972.0,16.1003
SUX,0.2496,0.1423,80,1288.0,5433.0,14.7212
LGA,0.2541,0.0743,1108,254487.0,1073640.0,17.7158
ATY,0.2556,0.2706,10,93.0,524.0,17.1445
SFO,0.2569,0.0964,979,322459.0,1313793.0,16.1935
TTN,0.2628,0.1138,100,5465.0,20232.0,20.3725
EWR,0.2672,0.1014,1034,261282.0,1007113.0,18.5964
PGD,0.2696,0.1238,51,6491.0,21238.0,21.3278
OWB,0.2715,0.1739,39,89.0,344.0,16.1113
CEC,0.2781,0.086,21,446.0,1569.0,18.2279
AZA,0.2819,0.0805,44,5856.0,20454.0,19.6261
SCK,0.2823,0.1317,49,747.0,2748.0,15.773
CIC,0.2834,0.117,17,386.0,1454.0,19.0715
SFB,0.2903,0.0681,44,10482.0,35790.0,22.7448
OTH,0.292,0.1329,97,820.0,2871.0,19.4213
PSE,0.3071,0.1435,117,2105.0,6770.0,19.6228
BQN,0.3239,0.1486,292,4920.0,15548.0,21.0352
FOE,0.3298,0.1938,9,164.0,449.0,23.3252
ILG,0.346,0.2145,27,379.0,1142.0,24.8741
YNG,1.0,,1,2.0,2.0,59.5
